Lattice Size (NxN),Total Steps,Steps Used in Analysis,Burnin Steps,Interaction Strength,Applied Mag Field,Spin Prop
8,100000,50000,0,1.0,0.0,0.1

Temperature,Magnetizatio n Mean,Magnetization Std Dev,Energy Mean,Energy Std Dev,CV_mean,CV_Std,Chi_mean,Chi_std
2.0,0.0,0.03125,1.5625,0.0,4.5040273437499974e-05,0.00031528191406249984,0.0009805746875,2.808531250000004e-05
2.1,0.0,0.0,1.25,0.0,3.7875288318452364e-05,0.0002651270182291666,5.2812500000000005e-06,3.696875e-05
2.2,0.0,0.0,1.375,0.0,4.296534090909093e-05,0.00030075738636363663,1.5787304687499994e-06,1.1051113281249994e-05
2.3000000000000003,0.0,0.0,1.25,0.0,1.5294081182065224e-05,0.00010705856827445659,1.2883593750000008e-06,9.018515625000007e-06
2.4000000000000004,0.0,0.03125,1.3125,0.0,2.1142578124999996e-05,0.00014799804687499996,0.0009788967968750002,1.6340078125000053e-05
2.5000000000000004,0.0,0.03125,1.375,0.0,2.5703992187499973e-05,0.00017992794531249983,0.000976757734375,1.3666406249999852e-06
2.6000000000000005,0.0,0.03125,1.0,0.0,9.863912259615388e-06,6.904738581730774e-05,0.00097720544921875,4.500644531250081e-06
2.7000000000000006,0.0,0.0,1.3125,0.0,3.4874992766203716e-05,0.00024412494936342598,5.1202929687499975e-06,3.584205078124998e-05
2.8000000000000007,0.0,0.0,1.125,0.0,3.166224888392858e-05,0.00022163574218749996,3.1732617187500003e-06,2.221283203125e-05
2.900000000000001,0.0,0.0,1.5,0.0,3.900037042025861e-05,0.00027300259294181023,4.559062499999999e-06,3.191343749999999e-05
